office,resolved_office,status,location,heading_magnetic,sector_degrees,start_ring,max_rings,distance_nm,result_heading_magnetic,grid,latitude,longitude,wave_height,wave_period,url,note
CAR,CAR,NOT_FOUND,"Bar Harbor, ME",180,240,0,16,,,,,,,,,
GYX,GYX,FOUND,"Portland, ME",135,180,0,16,0.98,95.0,"GYX/73,58",43.66005,-70.23645,0.3048 wmoUnit:m,5 nwsUnit:s,"https://api.weather.gov/gridpoints/GYX/73,58",
BOX,BOX,FOUND,"Boston, MA",90,180,0,16,3.24,165.3,"BOX/73,99",42.31150,-71.02287,0.3048 wmoUnit:m,6 nwsUnit:s,"https://api.weather.gov/gridpoints/BOX/73,99",
OKX,OKX,NOT_FOUND,"Montauk, NY",180,240,0,16,,,,,,,,,
PHI,PHI,NOT_FOUND,"Atlantic City, NJ",135,180,0,16,,,,,,,,,
LWX,LWX,NOT_FOUND,"Annapolis, MD",180,360,0,16,,,,,,,,,
AKQ,AKQ,NOT_FOUND,"Virginia Beach, VA",90,180,0,16,,,,,,,,,
MHX,MHX,FOUND,"Morehead City, NC",180,180,0,16,1.01,237.0,"MHX/58,58",34.71135,-76.74098,0.3048 wmoUnit:m,1 nwsUnit:s,"https://api.weather.gov/gridpoints/MHX/58,58",
ILM,ILM,FOUND,"Wilmington, NC",135,180,0,16,7.11,121.1,"ILM/94,74",34.19178,-77.81545,0.6096 wmoUnit:m,12 nwsUnit:s,"https://api.weather.gov/gridpoints/ILM/94,74",
CHS,CHS,NOT_FOUND,"Charleston, SC",135,180,0,16,,,,,,,,,
JAX,JAX,FOUND,"Jacksonville, FL",90,180,0,16,13.29,86.5,"JAX/75,67",30.36612,-81.40568,0.3048 wmoUnit:m,10 nwsUnit:s,"https://api.weather.gov/gridpoints/JAX/75,67",
MLB,MLB,FOUND,"Melbourne, FL",90,180,0,16,1.99,72.1,"MLB/59,52",28.09265,-80.57380,0.3048 wmoUnit:m,5 nwsUnit:s,"https://api.weather.gov/gridpoints/MLB/59,52",
MFL,MFL,FOUND,"Miami, FL",90,180,0,16,0.68,51.9,"MFL/110,51",25.78220,-80.18480,0.3048 wmoUnit:m,1 nwsUnit:s,"https://api.weather.gov/gridpoints/MFL/110,51",
KEY,KEY,NOT_FOUND,"Key West, FL",180,360,0,16,,,,,,,,,
